Serial number,Price,Area(house sq.ft),Location
0,4850000,720,Kharghar
1,4500000,600,Kharghar
2,6700000,650,Kharghar
3,4500000,650,Kharghar
4,5000000,665,Kharghar
5,17000000,2000,Kharghar
6,12500000,1550,Kharghar
7,10500000,1370,Sector-13 Kharghar
8,10500000,1356,Kharghar
9,15000000,1680,Kharghar
10,8700000,980,Kharghar
11,9000000,1000,Kharghar
12,11000000,1060,Kharghar
13,10500000,1095,Kharghar
14,9700000,1155,Kharghar
15,10500000,1150,Kharghar
16,8000000,1250,Sector 18 Kharghar
17,8500000,990,Kharghar
18,9300000,1078,Kharghar
19,9900000,1150,Kharghar
20,8000000,1150,Kharghar
21,9000000,1060,Kharghar
22,4200000,680,Kharghar
23,28000000,2470,Kharghar
24,40000000,2100,Kharghar
25,16000000,2200,Kharghar
26,17000000,2235,Kharghar
27,9500000,1025,Kharghar
28,9500000,950,Kharghar
29,7500000,895,Kharghar
30,8500000,1114,Kharghar
31,13000000,1197,Kharghar
32,13700000,1380,Kharghar
33,8000000,1050,Kharghar
34,10500000,1240,Kharghar
35,7700000,1110,Kharghar
36,7500000,1050,Kharghar
37,9000000,1160,Kharghar
38,6000000,555,Kharghar
39,6200000,650,Kharghar
40,5000000,600,Kharghar
41,6500000,650,Kharghar
42,5200000,700,Kharghar
43,4200000,646,Kharghar
44,5500000,560,Kharghar
45,5500000,670,Kharghar
46,6000000,740,Kharghar
47,5500000,636,Kharghar
48,4200000,680,Kharghar
49,16500000,1635,Kharghar
50,11399999,1550,Kharghar
51,13500000,1500,Kharghar
52,22500000,1850,Kharghar
53,40000000,2100,Kharghar
54,5700000,610,Kharghar
55,4800000,655,Kharghar
56,4500000,660,Kharghar
57,4300000,650,Kharghar
58,4500000,680,Kharghar
59,5300000,670,Kharghar
60,4803000,655,Kharghar
61,13000000,1800,Kharghar
62,15500000,1645,Kharghar
63,13000000,1395,Kharghar
64,8500000,1150,Kharghar
65,9400000,1200,Kharghar
66,4500000,615,Kharghar
67,5300000,670,Kharghar
68,6000000,765,Kharghar
69,5600000,650,Kharghar
70,17500000,1760,Kharghar
71,12000000,1415,Kharghar
72,15000000,1685,Kharghar
73,13000000,1800,Kharghar
74,16600000,1650,Kharghar
75,13000000,1395,Kharghar
76,9400000,1200,Kharghar
77,5700000,650,Kharghar
78,5500000,560,Kharghar
79,6000000,765,Kharghar
80,5600000,650,Kharghar
81,4900000,655,Kharghar
82,13500000,1390,Kharghar
83,22000000,1590,Kharghar
84,17500000,1760,Kharghar
85,17800000,1716,Kharghar
86,14000000,1680,Kharghar
87,7200000,1050,Kharghar
88,7000000,1100,Kharghar
89,15000000,1635,Kharghar
90,10000000,1078,Kharghar
91,17500000,1760,Kharghar
92,11000000,1415,Kharghar
93,13000000,1800,Kharghar
94,12500000,1147,Kharghar
95,13000000,1197,Kharghar
96,15000000,1300,Kharghar
97,7500000,1050,Kharghar
98,9500000,1240,Kharghar
99,5500000,650,Kharghar
100,5000000,600,Sector 20 Kharghar
101,5000000,550,Kharghar
102,5500000,550,Kharghar
103,4200000,650,Kharghar
104,4200000,646,Kharghar
105,6000000,740,Kharghar
106,5000000,570,Kharghar
107,5500000,670,Kharghar
108,4300000,640,Kharghar
109,15500000,1700,Kharghar
110,11399999,1550,Kharghar
111,12000000,1530,Kharghar
112,16000000,1750,Kharghar
113,22000000,1590,Kharghar
114,11000000,1415,Kharghar
115,16600000,1650,Kharghar
116,14000000,1687,Kharghar
117,8500000,1150,Kharghar
118,6000000,555,Kharghar
119,4900000,600,Kharghar
120,4200000,646,Kharghar
121,4500000,650,Kharghar
122,4300000,640,Kharghar
123,5500000,650,Kharghar
124,13500000,1400,Kharghar
125,15000000,1780,Kharghar
126,14000000,1687,Kharghar
127,6900000,1100,Kharghar
128,8300000,1050,Kharghar
129,9000000,1160,Kharghar
130,5100000,700,Kharghar
131,5200000,625,Kharghar
132,5500000,670,Kharghar
133,5500000,550,Kharghar
134,5400000,650,Kharghar
135,5300000,660,Kharghar
136,5500000,550,Kharghar
137,5000000,570,Kharghar
138,14000000,1550,Kharghar
139,17100000,1760,Kharghar
140,11800000,1475,Kharghar
141,6000000,759,Kharghar
142,4850000,600,Kharghar
143,4500000,550,Kharghar
144,4100000,620,Kharghar
145,5000000,550,Kharghar
146,5500000,745,Kharghar
147,4500000,580,Kharghar
148,5300000,670,Kharghar
149,19000000,1845,Kharghar
150,13500000,1400,Kharghar
151,13600000,1680,Kharghar
152,15500000,1645,Kharghar
153,16500000,1585,Kharghar
154,8600000,1350,Kharghar
155,10000000,1075,Kharghar
156,10500000,1155,Kharghar
157,4700000,625,Kharghar
158,6200000,720,Kharghar
159,4500000,550,Kharghar
160,6900000,735,Kharghar
161,4500000,580,Kharghar
162,10000000,1505,Kharghar
163,13000000,1630,Kharghar
164,11000000,1550,Kharghar
165,13000000,1455,Sector 18 Kharghar
166,10500000,1098,Kharghar
167,13000000,1210,Sector 15 Kharghar
168,9500000,1000,Kharghar
169,4500000,550,Kharghar
170,13000000,1630,Kharghar
171,13600000,1680,Kharghar
172,16200000,1650,Kharghar
173,15000000,1440,Kharghar
174,13200000,1370,Kharghar
175,7500000,1022,Sector 18 Kharghar
176,9500000,1000,Kharghar
177,15000000,1760,Kharghar
178,7500000,1100,Kharghar
179,13000000,1550,Sector 20 Kharghar
180,16200000,1675,Kharghar
181,11000000,1060,Kharghar
182,11600000,1150,Kharghar
183,5600000,670,Kharghar
184,8000000,900,Kharghar
185,9500000,1088,Kharghar
186,2018000,375,Dombivali
187,65000000,1200,Churchgate
188,45000000,1717,Prabhadevi
189,16500000,750,Jogeshwari West
190,2375000,525,Kalyan East
191,19500000,1200,Malad East
192,2000000,420,Virar East
193,2500000,540,Virar East
194,2250000,415,Virar East
195,2700000,650,Virar
196,22000000,1100,Malad West
197,17000000,1105,Borivali East
198,43500000,2600,Malad East
199,4760000,700,Mira Road East
200,18100000,1296,Goregaon West
201,23800000,1638,Goregaon West
202,21200000,1465,Goregaon West
203,8600000,700,Borivali East
204,36500000,2030,Goregaon West
205,23700000,1450,Malad West
206,21400000,1100,Malad West
207,12500000,800,Kandivali West
208,18000000,1500,Kandivali West
209,13200000,1100,Kandivali West
210,35300000,1962,Kandivali West
211,15300000,950,Borivali East
212,25000000,1440,Kandivali West
213,13899999,1200,Kandivali West
214,33500000,1785,Borivali West
215,14500000,775,Goregaon West
216,9000000,765,Kandivali West
217,13500000,910,Goregaon West
218,9000000,640,Goregaon West
219,21600000,1264,Malad East
220,13700000,1056,Kandivali West
221,27799999,1810,Kandivali East
222,27900000,1656,Goregaon West
223,81600000,3888,Goregaon West
224,38600000,2030,Borivali West
225,17000000,1114,Andheri East
226,60100000,3585,Goregaon West
227,27900000,1404,Goregaon East
228,31500000,1620,Goregaon East
229,37500000,2780,Malad East
230,31000000,1672,Malad East
231,21100000,1200,Malad East
232,16500000,1200,Malad East
233,16000000,1250,Borivali East
234,26000000,1840,Borivali East
235,15200000,1170,Malad West
236,2300000,310,Kharghar
237,33000000,1245,Wadala
238,29000000,1153,Wadala
239,11200000,573,Ulwe
240,9000000,1100,Ulwe
241,8500000,1135,Ulwe
242,9000000,1060,Kharghar
243,11500000,560,Malad West
244,12100000,1150,Dahisar
245,11000000,1054,kandivali
246,27000000,1695,Goregaon
247,21600000,1579,Goregaon
248,30200000,2153,Goregaon
249,41200000,1872,Goregaon
250,30500000,1717,Goregaon
251,36700000,1675,Goregaon East
252,23800000,1672,Malad East
